DATE,InterestRateRealEstate
2003-01-01,155242.0
2003-04-01,153368.0
2003-07-01,149239.0
2003-10-01,151454.0
2004-01-01,160762.0
2004-04-01,168866.0
2004-07-01,179974.0
2004-10-01,179742.0
2005-01-01,185895.0
2005-04-01,188998.0
2005-07-01,197558.0
2005-10-01,204159.0
2006-01-01,210658.0
2006-04-01,219299.0
2006-07-01,224788.0
2006-10-01,229622.0
2007-01-01,236627.0
2007-04-01,246080.0
2007-07-01,251072.0
2007-10-01,249532.0
2008-01-01,229526.0
2008-04-01,233389.0
2008-07-01,227804.0
2008-10-01,221156.0
2009-01-01,207585.0
2009-04-01,170531.0
2009-07-01,165646.0
2009-10-01,154136.0
2010-01-01,159235.0
2010-04-01,171691.0
2010-07-01,170065.0
2010-10-01,172157.0
2011-01-01,178624.0
2011-04-01,174539.0
2011-07-01,172464.0
2011-10-01,182557.0
2012-01-01,182727.0
2012-04-01,181926.0
2012-07-01,185377.0
2012-10-01,188002.0
2013-01-01,190750.0
2013-04-01,201490.0
2013-07-01,212900.0
2013-10-01,212169.0
2014-01-01,209229.0
2014-04-01,218705.0
2014-07-01,223359.0
2014-10-01,230317.0
2015-01-01,240604.0
2015-04-01,246157.0
2015-07-01,245928.0
2015-10-01,243526.0
2016-01-01,238871.0
2016-04-01,247999.0
2016-07-01,256525.0
2016-10-01,256576.0
2017-01-01,251778.0
2017-04-01,272199.0
2017-07-01,267027.0
2017-10-01,271446.0
2018-01-01,273713.0
2018-04-01,275531.0
2018-07-01,275538.0
2018-10-01,272350.0
2019-01-01,284016.0
2019-04-01,296614.0
2019-07-01,294791.0
2019-10-01,292020.0
2020-01-01,296935.0
2020-04-01,292112.0
2020-07-01,297243.0
2020-10-01,307410.0
2021-01-01,311309.0
2021-04-01,319986.0
2021-07-01,343543.0
2021-10-01,356668.0
2022-01-01,348208.0
2022-04-01,346646.0
2022-07-01,352401.0
2022-10-01,351240.0
2023-01-01,350803.0
